Date,Class,Addr Cnt,TELCORE,BBCORE,VCORE,SCORE,TelOnly,Tel+BB,CBOL,IP CORE,FIBER,DSL,BB Goal,BB Rem,BB %
2026-02-28,27-WEAK,1284.0,54,341,33,1.0,11,43,298,11,341,0,328.0,-13.0,26.56
2026-02-28,28-CARL,312.0,25,124,9,2.0,13,12,112,25,124,0,123.0,-1.0,39.74
2026-02-28,33-BENT,450.0,16,98,9,0.0,0,16,82,0,98,0,103.0,5.0,21.78
2026-02-28,98-TNNG,6.0,0,5,0,0.0,0,0,5,0,5,0,5.0,,83.33
2026-02-28,99-KYNG,30.0,1,36,1,3.0,0,1,35,1,36,0,36.0,,120.0
2026-02-28,25-IRDOF,163.0,0,22,1,0.0,0,0,22,0,22,0,14.0,-8.0,13.5
2026-02-28,Others,120.0,0,7,0,0.0,0,0,7,0,7,0,3.0,-4.0,5.83
2026-02-28,31-ARD-AL,11198.0,1607,5265,0,61.0,491,1116,4149,10,5007,258,,,47.02
2026-02-28,31-ARD-TN,4203.0,977,1979,0,15.0,280,697,1282,20,1716,263,,,47.09
2026-02-28,35-GILES,615.0,4,70,0,0.0,0,4,66,4,70,0,,,11.38
2026-02-28,96-ALNG,,0,1,0,,0,0,1,0,1,0,,,0.0
2026-03-31,10-WKT-KY,19546.0,4690,12410,1018,355.0,1169,3521,8889,464,12410,0,,,63.49
2026-03-31,10-WKT-TN,2998.0,948,2089,183,40.0,149,799,1290,15,2089,0,,,69.68
2026-03-31,14-YORK,1891.0,442,1108,56,7.0,80,362,746,5,1108,0,15584.0,-23.0,58.59
2026-03-31,12-MRTN,5091.0,282,1349,70,3.0,133,149,1200,192,1349,0,1276.0,-73.0,26.5
2026-03-31,15-DRES,1531.0,235,913,50,1.0,110,125,788,149,913,0,908.0,-5.0,59.63
2026-03-31,16-DUKE,528.0,98,396,28,1.0,10,88,308,98,396,0,391.0,-5.0,75.0
